question,choices,back,answer,Question_int
Latent defects are defects that are unknown to the buyer and that are:,immediately visible to the eye of the average person.|required to be disclosed by the buyer to the seller.|the responsibility of the licensee to discover.|not discoverable upon a reasonable inspection of the property.,<p>Option (4) is correct because a latent defect is a defect which is not immediately discoverable upon a reasonable <br>inspection of the property. Option (1) is incorrect because a defect immediately visible to the eye is a  patent <br>defect. Option (2) is incorrect because a latent defect is required to be disclosed by the seller not the buyer. Option (3) is incorrect because a latent defect is the responsibility of the seller to disclose.</p>,Correct Option: 4,1
Real property is said to be more subject to the effects of externalities than most assets. This vulnerability is principally due to:,the relatively high cost of real property.|the fact that land is fixed in supply.|the immobility of land.|the lack of effective government regulations.,"<p>Option (3) is correct because the immobility of land renders real property more subject r eal property to the <br>effects of externalities than most assets . An owner cannot move his or her real property to a more desirable <br>location with beneficial externalities. Similarly, a n owner cannot move his or her property away from a location <br>subject or negative externalities. This characteristic of land has the greatest effect on the value of a real property <br>asset. Options (1), (2), and (4) are  therefore  incorrect.</p>",Correct Option: 3,2
"Which of the following is NOT a ""real estate service"" under the Real Estate Services Act?",Constructing a commercial office building in Prince George for an owner who lives in British Columbia|Collecting rents from tenants in a residential building in Burnaby for an owner who lives in Singapore|Selling a Penticton property for an owner who lives in Victoria|Assisting in the sale of a condominium unit located in Vancouver but owned by a person who lives in Calgary,<p>Option (1) is correct because construction of a building  is not a real estate service under the Real Estate Services <br>Act. Option (2) is incorrect because collecting rents from tenants is defined as “ rental property management <br>services ” which fall under “ real estate services ” in the Real Estate Services Act . Options (3) and (4) are incorrect <br>because selling or assisting in the sale of properties is defined as “ trading services ” which fall under “ real estate <br>services ” in the Real Estate Services Act .</p>,Correct Option: 1,3
"Which of the following statements is TRUE regarding sole proprietorships, partnerships, and corporations?","Only sole proprietors need to report business income on their personal income tax returns.|Only partners of a partnership need to report business income on their personal tax returns.|Sole proprietorships, partnerships, and corporations are identical in terms of taxation of owner's income.|A corporation is a separate legal entity with its own income tax status.",<p>Option (4) is correct; corporations are subject to income tax as a separate legal entity. Options (1) and (2) are <br>incorrect  because both sole proprietors and partners need to report their business income on their personal <br>income tax re turns. Option (3) is incorrect  because corporations have different tax liability from proprietors <br>and partners in that corporations are taxed as a separate legal entity.</p>,Correct Option: 4,4
Consider a situation in which the principal is the seller and the agent is the listing agent. Which of the following events will terminate the real estate agency relationship?,The principal's refusal to accept an offer to purchase presented by the agent where the offer exactly complies with the requirements in the listing contract|An act of the principal that is inconsistent with the continuation of the agent's authority|An offer by the agent to personally purchase the principal's property|The revocation of an offer to purchase by the offeror before the principal can accept it,"<p>Option (2) is correct because a  real estate agency relationship depends on mutual consent, and therefore either <br>party can terminate the relationship at will. An agent’s authority can be revoked orally or by conduct, and an <br>act of the principal that is inconsistent with the continuation of authority terminate s the relat ionship. Options  <br>(1) and (4) are incorrect because these scenarios do not terminate the agency relationship. They relate  to the  <br>principal’s  duty to pay real estate commission to the agent . Option  (3) is incorrect  because a n agent’s offer to <br>personally purc hase the principal’s property  is a conflict of interest. While such conflicts should be avoided, <br>they do not terminate  the agency relationship .   <br></p>",Correct Option: 2,5
"A $170,000 mortgage loan, written at a nominal rate of 7% per annum, compounded annually, has a 2- year contractual term. Payments are made monthly and are based on a 20-year amortization period. Payments are rounded to the next higher dollar. What is the size of the required payments?","$1,307|$1,319|$1,275|$1,297","<p>Find the payments, rounded up to the nearest dollar, based on the terms of the mortgage contract that is given <br />in the question.</p>
<table border=""1"" cellspacing=""0"" cellpadding=""4"">
  <thead>
    <tr>
      <th>Press</th>
      <th>Display</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>7 &#9632; NOM%</td>
      <td style=""text-align: right"">7</td>
    </tr>
    <tr>
      <td>1 &#9632; P/YR</td>
      <td style=""text-align: right"">1</td>
    </tr>
    <tr>
      <td>&#9632; EFF%</td>
      <td style=""text-align: right"">7</td>
    </tr>
    <tr>
      <td>12 &#9632; P/YR</td>
      <td style=""text-align: right"">12</td>
    </tr>
    <tr>
      <td>&#9632; NOM%</td>
      <td style=""text-align: right"">6.784974</td>
    </tr>
    <tr>
      <td>170000 PV</td>
      <td style=""text-align: right"">170,000</td>
    </tr>
    <tr>
      <td>0 FV</td>
      <td style=""text-align: right"">0</td>
    </tr>
    <tr>
      <td>240 N</td>
      <td style=""text-align: right"">240</td>
    </tr>
    <tr>
      <td>PMT</td>
      <td style=""text-align: right"">&minus;1,296.15607</td>
    </tr>
  </tbody>
</table>",Correct Option: 4,6
"Before adopting, amending, or repealing a zoning bylaw, a municipal council as a matter of policy will:",obtain the approval of the federal government.|obtain the approval of the provincial government.|give three months' written notice to the public.|hold a public hearing.,"<p>Option (4) is correct because a municipal council will hold a public hearing before adopting, amending or <br>repealing a bylaw.  Options (1) and (2) are incorrect because the power to zone has been delegated to the <br>municipality by the Province, and the Province has not retained the right to decide zoning matters. Option (3) is <br>incorrect  because a municipal council  typically issues notice of a public hearing to neighbouring properties, <br>but no specified written notice is required.</p>",Correct Option: 4,7
Which of the following might be the subject of a real property appraisal?,Air space rights|A life insurance policy|A diamond|A home owner's insurance policy,"<p>Option (1) is correct because the subject of a real property appraisal  is the particular rights of ownership vested <br>in a certain piece of real estate.  Air space rights are a legal interest in real property. Options (2), (3), and (4) are <br>incorrect because these do not describe legal interests in real property.</p>",Correct Option: 1,8
"When commencing a lawsuit in small claims court, the plaintiff may originate the action in which of the following jurisdictions?",Where either the plaintiff resides or the defendant resides|Where the plaintiff resides only|Where either the cause of action arose or the defendant resides|Where either the cause of action arose or the plaintiff resides,"<p>Option (3) is correct because the plaintiff may originate an action  either  in the jurisdiction where the <br>circumstance s giving rise to the claim arose , or in the jurisdiction where the defendant resides or carries on <br>business. Options (1), (2), and (4) are incorrect  for this reason.</p>",Correct Option: 3,9
"The principle that the person named on a particular certificate of title is entitled to a fee simple interest in that property, free from any condition or encumbrance that is not shown on title, is known as the:",assurance principle.|entitlement principle.|fee simple principle.|indefeasibility principle.,"<p>Option (4) is correct and (1), (2), and (3) are incorrect because the principle of indefeasibility means that if a <br>person is named on a certificate of title as the owner of the fee simple estate in land, then that is conclusive proof, as far as the world is concerned, that he or she is entitled to that fee simple estate.  <br></p>",Correct Option: 4,10
"In the event that the tenant abandons a commercial premises, the landlord is best advised to notify the tenant that the landlord intends to enter into possession of the premises solely to re-let on the tenant's account:",or else the doctrine of frustration will be applied to the situation.|to avoid the tenant having grounds for an action in trespass.|so that all of the landlord's rights against the tenant will be preserved.|because otherwise the landlord will be breaching the covenant of quiet enjoyment.,"<p>Option (3) is correct because if the landlord notifies the tenant of entry to re -let the premises, he will not lose  his <br>rights against the tenant. Option (1) is incorrect because the doctrine of frustration only applies when events <br>outside of the control of the parties fundamentally change the subject matter of the contract. In this case, an <br>abandonment of comm ercial premises would not frustrate  the contract. Option (2) is incorrect because  even if <br>the landlord did not provide notice,  the tenant would not have grounds for an action in trespass , as the <br>landlord has a right to enter incidental to the right to levy a distress. Option (4) is incorrect because the <br>covenant of quiet enjoyment protects the tenant’s right to the premises. Here, the tenant has abandoned the <br>premises and the landlord would not be breaching the covenant by entering the premises.</p>",Correct Option: 3,11
Which of the following elements are NOT considered in determining appropriate rates of interest on mortgage loans?,The credit rating of the borrower|The type of property used for security|The amount of administrative attention required on the loan|The amount of property insurance,"<p>Option (4) is correct because t he amount of property insurance does not affect the risk to the lender, and <br>therefore will not be considered in determining the appropriate rate. Options (1) and (2) are incorrect because <br>the borrower ’s credit rati ng and the type of property affect the risk of the loan to the lender. Option (3) is <br>incorrect because a  lender will set an appropriate rate of return based on the risk of lending, as well as the <br>amount of administrative work required.</p>",Correct Option: 4,12
"Where a commercial tenancy is expressed as lasting for a period of one year and terminating on a fixed date, how much notice must be given to terminate the tenancy?",No notice is required.|Thirty days' notice is required.|Six months' notice is required.|Reasonable notice is required.,"<p>Option (1) is correct because a commercial lea se for a fixed term terminates  at the end of the term, on the <br>specified end date. Options (2), (3), and (4) are incorrect for this reason.</p>",Correct Option: 1,13
"Which of the following is NOT a possible meaning of the term ""common law""?",The law created by the courts as opposed to statute law|The principles derived from the common law courts in England as opposed to the principles derived from the courts of Chancery|The laws created by the Federal government in accordance with its power under the Constitution|The system of law which relies upon the principle of stare decisis for its development,"<p>Option (3) is the correct answer because it is not a possible meaning of the term “common law”. The body of <br>laws created by the Federal government (i.e., by the federal legislature) is referred to as statute law. Option (1) is <br>incorrect because the term “common law” often broadly refers to the law created by the courts, based in either <br>common -law or equitable principles . Option (2) is incorrect because another possible meaning  of “common <br>law”  is the original set of court -developed principles , which evolved separately from equitable principles , before <br>these two courts merged . Option  (4) is incorrect because the doctrine of stare decisis  underlies the binding <br>nature of precedent within the common law.</p>",Correct Option: 3,14
